,indivi_id,route_id,route_short_name,stop_lat_x,stop_lon_x,stop_lat_y,stop_lon_y,stop_id_x,stop_id_y,stop_name_x,stop_name_y,DATE,BOARDING_LON,BOARDING_LAT,ORIGIN_LAT_100M,ORIGIN_LON_100M,trip_id,arrival_time
0,1,6-81,6,44.979544,-93.27255799999999,44.948271999999996,-93.298208,17947,1322,Hennepin Ave & 5th St S,Hennepin Ave & Lake St W,2016-04-11 00:00:00,-93.273144,44.980003,44.948,-93.299,"9181751-MAR16-MVS-BUS-Weekday-01,9181753-MAR16-MVS-BUS-Weekday-01,9181763-MAR16-MVS-BUS-Weekday-01,9181764-MAR16-MVS-BUS-Weekday-01,9181769-MAR16-MVS-BUS-Weekday-01","12:29:00,12:49:00,12:19:00,12:39:00,12:59:00"
1,2,22-81,22,44.934870000000004,-93.229731,44.955374,-93.247437,51543,15368,38th St Station & Gate B,Cedar Ave S & 26th St E,2016-04-11 00:00:00,-93.229421,44.934613,44.955,-93.246,"9194819-MAR16-MVS-BUS-Weekday-01,9194827-MAR16-MVS-BUS-Weekday-01","12:22:00,12:42:00"
2,8,62-81,62,44.95596,-93.106029,45.086444,-93.126515,975,46951,Rice St & University Ave,Tanglewood Dr & Laura Lane,2016-04-12 00:00:00,-93.105534,44.955749,45.107,-93.127,9046097-MAR16-MVS-BUS-Weekday-01,15:44:00
3,11,18-81,18,44.979544,-93.27255799999999,44.946543,-93.277857,17947,1887,Hennepin Ave & 5th St S,Nicollet Ave S & 31st St E,2016-04-12 00:00:00,-93.269912,44.978491,44.947,-93.278,"9185446-MAR16-MVS-BUS-Weekday-01,9185479-MAR16-MVS-BUS-Weekday-01,9185527-MAR16-MVS-BUS-Weekday-01,9185528-MAR16-MVS-BUS-Weekday-01,9185563-MAR16-MVS-BUS-Weekday-01","16:42:00,16:57:00,16:29:00,16:49:00,16:35:00"
4,14,65-81,65,44.955873,-93.12644399999999,45.006368,-93.146536,10746,3967,Dale St & University Ave,Co Rd B & Lexington Ave,2016-04-12 00:00:00,-93.125945,44.955682,45.006,-93.145,"9231583-MAR16-MVS-BUS-Weekday-01,9231597-MAR16-MVS-BUS-Weekday-01","16:48:00,16:28:00"
5,19,54-81,54,44.946915000000004,-93.09174399999999,44.860023999999996,-93.222824,49397,41975,5th St & Minnesota St,34th Ave S & American Blvd / I-494,2016-04-12 00:00:00,-93.092202,44.94607,44.874,-93.228,"9050257-MAR16-MVS-BUS-Weekday-01,9050304-MAR16-MVS-BUS-Weekday-01","20:34:00,20:49:00"
6,20,6-81,6,44.950151,-93.29821,44.921890999999995,-93.329026,50195,1292,Hennepin Ave & Uptown Station - Gate B,France Ave S & Sunnyside Ave,2016-04-13 00:00:00,-93.297885,44.950073,44.922,-93.327,"9181582-MAR16-MVS-BUS-Weekday-01,9181584-MAR16-MVS-BUS-Weekday-01,9181586-MAR16-MVS-BUS-Weekday-01,9181726-MAR16-MVS-BUS-Weekday-01","07:15:00,07:26:00,07:41:00,07:50:00"
7,21,12-81,12,44.950151,-93.29821,44.937982,-93.33206899999999,50195,4856,Hennepin Ave & Uptown Station - Gate B,Excelsior Blvd & Huntington Ave,2016-04-13 00:00:00,-93.297545,44.950079,44.938,-93.332,"9047419-MAR16-MVS-BUS-Weekday-01,9047438-MAR16-MVS-BUS-Weekday-01,9047443-MAR16-MVS-BUS-Weekday-01","07:52:00,07:35:00,07:21:00"
8,22,5-81,5,44.949296000000004,-93.26228,45.033572,-93.295826,52261,9609,Chicago Lake Transit Center & Gate A,Fremont Ave N & 43rd Ave N,2016-04-13 00:00:00,-93.26228,44.949296,45.034,-93.295,9167304-MAR16-MVS-BUS-Weekday-01,08:53:00
9,25,87-81,87,44.948454999999996,-93.18743,44.95428,-93.18237099999999,18903,18894,Cleveland Ave & Marshall Ave,Prior Ave & Feronia Ave,2016-04-13 00:00:00,-93.187244,44.948417,44.95399999999999,-93.179,"9045208-MAR16-MVS-BUS-Weekday-01,9045226-MAR16-MVS-BUS-Weekday-01,9045290-MAR16-MVS-BUS-Weekday-01","09:07:00,09:27:00,09:47:00"
